notation,prefLabel,definition
Accepted,Accepted,"The date that the publisher accepted the resource into their system."
Available,Available,"The date the resource is made publicly available. May be a range."
Collected,Collected,"The date or date range in which the resource content was collected."
Coverage,Coverage,"The date or date range that the resource content applies to, describes, or covers."
Created,Created,"The date the resource itself was put together; this could refer to a timeframe in ancient history, a date range, or a single date for a final component, e.g., the finalised file with all the data."
Issued,Issued,"The date that the resource is published or distributed, e.g., to a data centre."
Submitted,Submitted,"The date the creator submits the resource to the publisher. This could be different from Accepted if the publisher then applies a selection process."
Updated,Updated,"The date of the last update to the resource, when the resource is being added to. May be a range."
Valid,Valid,"The date or date range during which the dataset or resource is accurate."
Withdrawn,Withdrawn,"The date the resource is removed."
Other,Other,"Other date that does not fit into an existing category."
